"p_val","avg_log2FC","pct.1","pct.2","p_val_adj","cluster","gene"
1.15200799940278e-85,2.05197816039644,0.783,0.045,1.72536238070555e-81,"00h","TOX"
3.00112694514963e-80,2.11236227801638,0.913,0.117,4.49478782575061e-76,"00h","GRIA4"
7.94966303465575e-76,1.94004198590408,0.989,0.131,1.19062103270039e-71,"00h","GPR160"
2.33017015583795e-75,1.65229574224207,0.522,0.006,3.48989584239849e-71,"00h","SIX6"
1.69245249770433e-74,2.01160430804942,1,0.183,2.53478610581178e-70,"00h","SOX2"
5.97072438451602e-70,1.52436978685196,0.707,0.053,8.94235391068965e-66,"00h","POU3F1"
7.60834394668283e-68,1.51918584502679,0.739,0.068,1.13950167289469e-63,"00h","GRID2"
6.46360319428843e-66,1.36443715089634,0.63,0.038,9.68053850408578e-62,"00h","FEZF1"
8.34499839447704e-66,1.64525369135419,0.88,0.128,1.24983040954083e-61,"00h","EPPK1"
1.51828512161223e-65,1.83006925031093,0.837,0.108,2.27393562663864e-61,"00h","SYT6"
4.7727133211007e-64,1.88670324055507,0.859,0.126,7.14809274101252e-60,"00h","SHANK2"
1.26430214960247e-62,1.64203734175066,0.88,0.126,1.89354532945962e-58,"00h","CAMKV"
2.47167552661456e-62,1.13229527504401,0.5,0.015,3.70182843621062e-58,"00h","FOXD3"
2.1462632106294e-61,1.75845827311586,1,0.225,3.21445841055966e-57,"00h","GRHL2"
1.15085130158428e-60,1.9206737993283,0.739,0.089,1.72362999438278e-56,"00h","HESX1"
8.45028255891908e-59,1.74102925913158,1,0.419,1.26559881884931e-54,"00h","USP44"
2.37015697898295e-58,1.8268195973231,0.989,0.297,3.54978410742276e-54,"00h","ESRP1"
2.04006983478329e-57,1.38769078833746,0.783,0.095,3.05541259155494e-53,"00h","FAM46B"
1.46133648965606e-55,1.84119144270972,0.772,0.116,2.18864366055788e-51,"00h","LMO3"
1.41869223317078e-54,2.08738261626687,0.924,0.264,2.12477535761988e-50,"00h","BNC2"
8.63474249083288e-53,1.91551052928466,0.902,0.228,1.29322538285204e-48,"00h","ZNF165"
3.15904522461568e-51,1.63390752181628,0.989,0.323,4.7313020329069e-47,"00h","LECT1"
1.15521770597863e-50,1.19034183974795,1,0.64,1.7301695582442e-46,"00h","POLR3G"
1.53011887536175e-50,1.28552721835221,1,0.737,2.2916590396293e-46,"00h","PDGFA"
4.12515272618627e-50,0.831914435295316,1,0.863,6.17824123800918e-46,"00h","PHC1"
1.18880997337316e-49,1.55285583785131,1,0.824,1.78048069712098e-45,"00h","LRAT"
2.00023609898987e-49,1.45708960280131,0.696,0.09,2.99575360545713e-45,"00h","COL9A1"
2.98703514090128e-49,1.69586014423835,0.761,0.134,4.47368253052785e-45,"00h","LCK"
3.09303524635289e-49,0.542371424182056,1,0.955,4.63243888846272e-45,"00h","DNMT3B"
4.33438584503374e-49,0.591159332565582,1,0.985,6.49160968010704e-45,"00h","PPP3CA"
5.80925632182496e-49,0.74784841718804,0.37,0.008,8.70052319319725e-45,"00h","HMX2"
2.08206102994687e-48,1.56363001169077,0.978,0.282,3.11830280455142e-44,"00h","AP1M2"
7.47215584431786e-48,1.59752931947127,0.793,0.152,1.11910478080349e-43,"00h","TRERF1"
1.2606649958655e-47,1.30439836584867,0.772,0.137,1.88809796430776e-43,"00h","LINGO1"
