"","p_val","avg_log2FC","pct.1","pct.2","p_val_adj","cluster","gene"
"IL7R",3.80597748471038e-197,0.946202221015904,0.623,0.114,3.80597748471038e-194,"CD4+ T cell","IL7R"
"LTB",4.07102734601882e-144,0.946761678109934,0.583,0.152,4.07102734601882e-141,"CD4+ T cell","LTB"
"RCAN3",7.12461923509432e-131,0.484514089742631,0.315,0.023,7.12461923509432e-128,"CD4+ T cell","RCAN3"
"PIK3IP1",2.05977326957544e-58,0.436665217536306,0.377,0.131,2.05977326957544e-55,"CD4+ T cell","PIK3IP1"
"OXNAD1",7.50808725084198e-58,0.378081004393405,0.268,0.065,7.50808725084199e-55,"CD4+ T cell","OXNAD1"
"TOB1",1.43646942536076e-43,0.361509890302731,0.272,0.087,1.43646942536076e-40,"CD4+ T cell","TOB1"
"FOS",1.74650815275653e-11,0.313780175419779,0.442,0.332,1.74650815275653e-08,"CD4+ T cell","FOS"
"CCL5",0,1.98976288627573,0.985,0.369,0,"Cytotoxic T cell","CCL5"
"GZMH",4.31030694076583e-215,1.02549844801897,0.604,0.095,4.31030694076583e-212,"Cytotoxic T cell","GZMH"
"GZMB",3.83344731252349e-103,0.537111090164504,0.479,0.124,3.83344731252349e-100,"Cytotoxic T cell","GZMB"
"GNLY",1.9733549318933e-97,1.33550692079605,0.62,0.278,1.9733549318933e-94,"Cytotoxic T cell","GNLY"
"CD8B",6.05760224261097e-79,0.441116829188535,0.308,0.062,6.05760224261097e-76,"Cytotoxic T cell","CD8B"
"TRGC2",2.07512465320031e-78,0.36901016957182,0.251,0.033,2.07512465320031e-75,"Cytotoxic T cell","TRGC2"
"C1orf21",8.05994679786941e-68,0.339906787477603,0.267,0.052,8.05994679786941e-65,"Cytotoxic T cell","C1orf21"
"PYHIN1",3.18220063508164e-63,0.38918001893233,0.317,0.086,3.18220063508164e-60,"Cytotoxic T cell","PYHIN1"
"C12orf75",6.21462361514627e-61,0.330150016837274,0.283,0.069,6.21462361514627e-58,"Cytotoxic T cell","C12orf75"
"LYAR",1.62073358353326e-57,0.384501119826833,0.359,0.122,1.62073358353326e-54,"Cytotoxic T cell","LYAR"
"GBP5",3.07734922750064e-49,0.348449333352583,0.31,0.106,3.07734922750064e-46,"Cytotoxic T cell","GBP5"
"ANXA1",2.23447152968935e-43,0.36868662047264,0.487,0.244,2.23447152968935e-40,"Cytotoxic T cell","ANXA1"
"MYBL1",7.80840982607162e-36,0.289308768708915,0.257,0.093,7.80840982607162e-33,"Cytotoxic T cell","MYBL1"
"CD2",1.31385756357891e-34,0.299798263343993,0.317,0.135,1.31385756357891e-31,"Cytotoxic T cell","CD2"
"AP000769.1",7.10767223421279e-23,0.33990113750515,0.535,0.354,7.10767223421279e-20,"Cytotoxic T cell","AP000769.1"
"KLRF1",7.75804952782615e-106,0.593023923531241,0.395,0.03,7.75804952782615e-103,"Natural killer cell","KLRF1"
"GNLY1",2.55426403091653e-105,2.26313562270447,0.995,0.368,2.55426403091653e-102,"Natural killer cell","GNLY"
"GZMB1",6.68714595081115e-93,1.38497303607145,0.838,0.219,6.68714595081115e-90,"Natural killer cell","GZMB"
"KIR2DL1",1.01807102316974e-90,0.482345053022672,0.308,0.02,1.01807102316974e-87,"Natural killer cell","KIR2DL1"
"CMC1",5.64900559890481e-64,0.641729821710864,0.427,0.067,5.64900559890481e-61,"Natural killer cell","CMC1"
"SPON2",4.55300793713122e-61,0.646734662783535,0.378,0.057,4.55300793713122e-58,"Natural killer cell","SPON2"
"S1PR5",3.56770754239986e-54,0.559184974600576,0.459,0.092,3.56770754239986e-51,"Natural killer cell","S1PR5"
"FCGR3A",5.24152576121829e-49,0.523804063821514,0.4,0.075,5.24152576121829e-46,"Natural killer cell","FCGR3A"
"TRDC",8.82018945814775e-48,0.541372030678341,0.33,0.052,8.82018945814775e-45,"Natural killer cell","TRDC"
"CCL4",3.68616213046986e-37,0.506821066323264,0.362,0.081,3.68616213046986e-34,"Natural killer cell","CCL4"
"HSH2D",2.17914760597971e-34,0.444231873426233,0.438,0.12,2.17914760597971e-31,"Natural killer cell","HSH2D"
"HOPX",5.17560829372942e-26,0.416669112805266,0.378,0.113,5.17560829372942e-23,"Natural killer cell","HOPX"
"CCL51",2.49222391926569e-22,0.789682229830487,0.87,0.58,2.49222391926569e-19,"Natural killer cell","CCL5"
"KLRB1",1.06401477181876e-20,0.356709183852733,0.319,0.095,1.06401477181876e-17,"Natural killer cell","KLRB1"
"GK5",3.54198219414086e-20,0.368244706358349,0.297,0.09,3.54198219414086e-17,"Natural killer cell","GK5"
"GZMH1",2.32588696688811e-18,0.427634188205452,0.578,0.265,2.32588696688811e-15,"Natural killer cell","GZMH"
"CEP78",3.27241900845996e-17,0.386383984879162,0.319,0.111,3.27241900845996e-14,"Natural killer cell","CEP78"
"C1orf211",2.18268756760136e-16,0.36872995702715,0.324,0.12,2.18268756760136e-13,"Natural killer cell","C1orf21"
"PYHIN11",2.31801253710087e-16,0.359675174707919,0.389,0.158,2.31801253710087e-13,"Natural killer cell","PYHIN1"
"ALOX5AP",3.55110468496994e-14,0.267244548909942,0.292,0.107,3.55110468496994e-11,"Natural killer cell","ALOX5AP"
"DSTN",4.45946862462991e-07,0.259332464191619,0.324,0.179,0.000445946862462991,"Natural killer cell","DSTN"
"S100A9",7.4544148950962e-149,1.05884684450317,0.534,0.051,7.4544148950962e-146,"CD14+ monocyte","S100A9"
"LYZ",1.57186448992713e-83,0.525489731102307,0.435,0.061,1.57186448992713e-80,"CD14+ monocyte","LYZ"
"S100A8",3.46998968935834e-66,0.70969835734835,0.319,0.042,3.46998968935834e-63,"CD14+ monocyte","S100A8"
"GPANK1",8.02402920464175e-28,0.539909735935513,0.293,0.081,8.02402920464175e-25,"CD14+ monocyte","GPANK1"
"SERAC1",5.95534730100351e-22,0.500030992782371,0.284,0.09,5.95534730100351e-19,"CD14+ monocyte","SERAC1"
"PSAP",1.05715358671313e-19,0.398701817759593,0.517,0.248,1.05715358671313e-16,"CD14+ monocyte","PSAP"
"LST1",5.16912221206643e-240,2.10151265270799,0.879,0.067,5.16912221206643e-237,"CD16+ monocyte","LST1"
"AIF1",2.13324669106005e-215,1.98567583838694,0.779,0.055,2.13324669106005e-212,"CD16+ monocyte","AIF1"
"CDKN1C",1.29459590350361e-212,0.771045965937377,0.45,0.009,1.29459590350361e-209,"CD16+ monocyte","CDKN1C"
"CFD",1.361593626662e-209,0.854467442971616,0.483,0.013,1.361593626662e-206,"CD16+ monocyte","CFD"
"MS4A7",2.13637753664551e-156,0.737894242894445,0.356,0.009,2.13637753664551e-153,"CD16+ monocyte","MS4A7"
"MAFB",1.41863632306977e-152,0.765885978022957,0.356,0.009,1.41863632306977e-149,"CD16+ monocyte","MAFB"
"PECAM1",3.30898840465899e-146,0.863005671528877,0.49,0.028,3.30898840465899e-143,"CD16+ monocyte","PECAM1"
"LILRB2",6.62869763850408e-120,0.543070015576423,0.322,0.012,6.62869763850408e-117,"CD16+ monocyte","LILRB2"
"COTL1",4.0300278455906e-114,1.51174829328484,0.765,0.122,4.0300278455906e-111,"CD16+ monocyte","COTL1"
"CST3",3.56398544851959e-111,0.837586568042544,0.611,0.067,3.56398544851959e-108,"CD16+ monocyte","CST3"
"POU2F2",1.7069486002021e-110,0.810025319446276,0.557,0.057,1.7069486002021e-107,"CD16+ monocyte","POU2F2"
"PSAP1",1.02445717561271e-103,1.78518446489687,0.893,0.237,1.02445717561271e-100,"CD16+ monocyte","PSAP"
"SLC11A1",6.18620631938567e-98,0.428436768781595,0.282,0.012,6.18620631938567e-95,"CD16+ monocyte","SLC11A1"
"FGR",2.02904013614248e-93,0.547958309512656,0.396,0.031,2.02904013614248e-90,"CD16+ monocyte","FGR"
"TYMP",4.46543857625924e-91,0.691938656243824,0.463,0.047,4.46543857625924e-88,"CD16+ monocyte","TYMP"
"HCK",7.02833540169855e-91,0.463540569737511,0.255,0.01,7.02833540169855e-88,"CD16+ monocyte","HCK"
"CLEC7A",2.08496581778167e-90,0.447803546810145,0.302,0.016,2.08496581778167e-87,"CD16+ monocyte","CLEC7A"
"CYBB",5.91119007333222e-90,0.588200628164625,0.369,0.028,5.91119007333222e-87,"CD16+ monocyte","CYBB"
"FCGR3A1",2.38827970746265e-80,1.03232720367455,0.523,0.073,2.38827970746265e-77,"CD16+ monocyte","FCGR3A"
"IFITM3",5.91982857616583e-76,1.36423869565331,0.638,0.125,5.91982857616583e-73,"CD16+ monocyte","IFITM3"
"TIMP1",3.22146561242002e-66,0.740896712922941,0.443,0.061,3.22146561242002e-63,"CD16+ monocyte","TIMP1"
"NAMPT",1.32510870279149e-51,0.607611800648878,0.369,0.054,1.32510870279149e-48,"CD16+ monocyte","NAMPT"
"ITGAX",1.63690247445933e-51,0.415476505609477,0.268,0.027,1.63690247445933e-48,"CD16+ monocyte","ITGAX"
"CEBPB",1.56108555173621e-47,0.457576303856854,0.315,0.042,1.56108555173621e-44,"CD16+ monocyte","CEBPB"
"WARS",9.94943208679242e-42,0.456691345454897,0.315,0.048,9.94943208679242e-39,"CD16+ monocyte","WARS"
"VASP",2.57559726177491e-39,0.476158921445886,0.322,0.053,2.57559726177491e-36,"CD16+ monocyte","VASP"
"FTL",8.18768110751091e-35,1.94190857906162,0.919,0.806,8.18768110751091e-32,"CD16+ monocyte","FTL"
"MTSS1",1.38464177300718e-31,0.43928868947895,0.282,0.049,1.38464177300718e-28,"CD16+ monocyte","MTSS1"
"CCDC88A",4.36573485364101e-24,0.280524855058354,0.255,0.05,4.36573485364101e-21,"CD16+ monocyte","CCDC88A"
"LYZ1",5.23381304252346e-20,0.26410033889179,0.295,0.078,5.23381304252346e-17,"CD16+ monocyte","LYZ"
"RGS2",2.45504893913882e-13,0.399251943084711,0.329,0.125,2.45504893913882e-10,"CD16+ monocyte","RGS2"
"FOS1",6.12544931376048e-12,0.442868168909083,0.631,0.349,6.12544931376048e-09,"CD16+ monocyte","FOS"
"LYST",1.18675259573276e-11,0.463454112334099,0.302,0.122,1.18675259573276e-08,"CD16+ monocyte","LYST"
"ANXA5",1.2284365561256e-11,0.347447281452567,0.302,0.119,1.2284365561256e-08,"CD16+ monocyte","ANXA5"
"HLA-DRA",0,1.66204493720692,0.864,0.115,0,"B cell","HLA-DRA"
"IGHM",0,1.62878150767077,0.667,0.014,0,"B cell","IGHM"
"MS4A1",0,1.51956845621964,0.683,0.014,0,"B cell","MS4A1"
"CD79A",0,1.14539918575151,0.595,0.007,0,"B cell","CD79A"
"BANK1",2.38255252729368e-304,1.01825041441046,0.52,0.008,2.38255252729368e-301,"B cell","BANK1"
"IGHD",1.24998130383809e-301,1.0833513374865,0.497,0.005,1.24998130383809e-298,"B cell","IGHD"
"IGKC",1.27221847324371e-275,2.04122309597269,0.568,0.029,1.27221847324371e-272,"B cell","IGKC"
"CD74",1.2184271628885e-262,2.48220057027774,0.983,0.37,1.2184271628885e-259,"B cell","CD74"
"LINC00926",2.87265312971261e-252,0.717911920563256,0.432,0.006,2.87265312971261e-249,"B cell","LINC00926"
"HLA-DRB1",1.91978746452738e-227,1.5196138697839,0.857,0.195,1.91978746452738e-224,"B cell","HLA-DRB1"
"IGLC2",2.31739132787085e-172,1.05277719022553,0.314,0.007,2.31739132787085e-169,"B cell","IGLC2"
"RALGPS2",4.00581645007884e-169,0.602064246820299,0.333,0.011,4.00581645007884e-166,"B cell","RALGPS2"
"HLA-DQA1",1.9306936889681e-151,0.502186386857186,0.319,0.013,1.9306936889681e-148,"B cell","HLA-DQA1"
"CD83",6.45614626561905e-145,0.761616896500148,0.4,0.038,6.45614626561905e-142,"B cell","CD83"
"ADAM28",7.47831760264907e-134,0.445534973104553,0.279,0.011,7.47831760264907e-131,"B cell","ADAM28"
"HLA-DQB1",1.02777590440068e-128,0.522794071516888,0.361,0.032,1.02777590440068e-125,"B cell","HLA-DQB1"
"HLA-DMB",3.1096373185021e-124,0.530197533922095,0.365,0.037,3.1096373185021e-121,"B cell","HLA-DMB"
"MEF2C",2.03290428871214e-115,0.563537460884108,0.331,0.032,2.03290428871214e-112,"B cell","MEF2C"
"IRF8",1.46427447590995e-79,0.348821235823294,0.252,0.027,1.46427447590995e-76,"B cell","IRF8"
"HLA-DPA1",7.09180540801562e-75,0.551981562160852,0.488,0.143,7.09180540801562e-72,"B cell","HLA-DPA1"
"HLA-DMA",2.20513784163551e-68,0.403042882914404,0.283,0.046,2.20513784163551e-65,"B cell","HLA-DMA"
"HLA-DPB1",4.13959357936233e-68,0.579447317717918,0.541,0.188,4.13959357936233e-65,"B cell","HLA-DPB1"
"PELI1",3.27241509545512e-53,0.430655814516732,0.285,0.064,3.27241509545512e-50,"B cell","PELI1"
"PRDM2",2.06812467804067e-27,0.368240492207059,0.331,0.138,2.06812467804067e-24,"B cell","PRDM2"
"PARP14",2.75490658422703e-26,0.350937771380279,0.302,0.12,2.75490658422703e-23,"B cell","PARP14"
"LGALS2",6.08654309060583e-253,0.882652735587726,0.478,0.002,6.08654309060583e-250,"Dendritic cell","LGALS2"
"CPVL",2.06213223300579e-124,1.69544111893335,0.5,0.013,2.06213223300579e-121,"Dendritic cell","CPVL"
"FCER1A",1.09442848564086e-121,0.75685215617034,0.283,0.003,1.09442848564086e-118,"Dendritic cell","FCER1A"
"SHTN1",5.40088878135689e-121,0.773873280610816,0.326,0.004,5.40088878135689e-118,"Dendritic cell","SHTN1"
"LYZ2",3.94273225310938e-115,3.39730507618998,0.978,0.075,3.94273225310938e-112,"Dendritic cell","LYZ"
"CST31",1.11152478890955e-111,3.97312252024884,0.978,0.08,1.11152478890955e-108,"Dendritic cell","CST3"
"RP11-1143G9.4",7.24194661788414e-95,1.07578550319149,0.391,0.01,7.24194661788414e-92,"Dendritic cell","RP11-1143G9.4"
"GRN",8.7774147174523e-89,0.892907826781493,0.565,0.027,8.7774147174523e-86,"Dendritic cell","GRN"
"FGL2",1.2349602015583e-81,0.993664009690538,0.565,0.03,1.2349602015583e-78,"Dendritic cell","FGL2"
"CCDC88A1",3.99105919298655e-68,1.30038996887557,0.652,0.051,3.99105919298655e-65,"Dendritic cell","CCDC88A"
"HLA-DQB11",9.74682930419643e-67,1.94976781239909,0.739,0.071,9.74682930419643e-64,"Dendritic cell","HLA-DQB1"
"FCGRT",2.29457093711888e-65,0.749211226376547,0.413,0.02,2.29457093711888e-62,"Dendritic cell","FCGRT"
"RAB31",4.75210238900509e-65,0.76247635170706,0.435,0.022,4.75210238900509e-62,"Dendritic cell","RAB31"
"HLA-DMA1",5.46372514237867e-65,1.44217922532279,0.739,0.072,5.46372514237867e-62,"Dendritic cell","HLA-DMA"
"HLA-DQA11",7.1230604072942e-55,1.32807352756129,0.587,0.051,7.1230604072942e-52,"Dendritic cell","HLA-DQA1"
"TGFBI",9.87733912838835e-55,0.462874530931397,0.261,0.009,9.87733912838835e-52,"Dendritic cell","TGFBI"
"AIF11",1.7835015134578e-49,1.27785621736303,0.696,0.08,1.7835015134578e-46,"Dendritic cell","AIF1"
"MPEG1",2.10791007834593e-49,0.57961229455725,0.326,0.016,2.10791007834593e-46,"Dendritic cell","MPEG1"
"JAML",3.06656727360431e-49,1.02540334622852,0.543,0.05,3.06656727360431e-46,"Dendritic cell","JAML"
"HLA-DPA11",1.57126184579296e-48,2.89712092967941,0.935,0.184,1.57126184579296e-45,"Dendritic cell","HLA-DPA1"
"TNFAIP2",5.84572770962418e-48,0.515972434663847,0.326,0.017,5.84572770962418e-45,"Dendritic cell","TNFAIP2"
"HLA-DRA1",2.80760211213663e-46,3.2710096612378,0.957,0.216,2.80760211213663e-43,"Dendritic cell","HLA-DRA"
"NCF2",3.37343160350154e-46,0.469132678596858,0.326,0.017,3.37343160350154e-43,"Dendritic cell","NCF2"
"HLA-DPB11",5.39220649663669e-42,2.93984504250285,0.935,0.23,5.39220649663669e-39,"Dendritic cell","HLA-DPB1"
"HLA-DMB1",4.67273048473505e-41,1.31028013214113,0.609,0.078,4.67273048473506e-38,"Dendritic cell","HLA-DMB"
"CEBPD",8.25030443316263e-41,0.447209935768104,0.304,0.017,8.25030443316263e-38,"Dendritic cell","CEBPD"
"HLA-DRB11",1.1615087709952e-40,3.22066574011723,1,0.283,1.1615087709952e-37,"Dendritic cell","HLA-DRB1"
