"","cluster"
"ABCA1",1
"ABCA8",1
"ABCG2",1
"ACE2",1
"ACOX3",1
"ACTA2",1
"ADAM12",1
"ADAMTS5",1
"AFAP1L2",1
"AKTIP",1
"ALCAM",1
"ALDH1A1",1
"ALDH1A2",1
"ALDH1A3",1
"ALPK2",1
"AMIGO2",1
"ANGPT2",1
"ANKHD1-EIF4EBP3",1
"ANKMY2",1
"ANKRD44",1
"ANKRD46",1
"ANKRD6",1
"ANO5",1
"ANXA1",1
"APLNR",1
"APOBEC3G",1
"AQP1",1
"ARAP2",1
"ARFGAP3",1
"ARHGAP28",1
"ARHGAP29",1
"ARHGDIB",1
"ARID5B",1
"ARL4D",1
"ARL6",1
"ARMCX1",1
"ARMCX3",1
"ARRDC4",1
"ART4",1
"ASB5",1
"ASS1",1
"ATP8B4",1
"B3GNT5",1
"B4GALT4",1
"BCHE",1
"BMI1",1
"BMP2",1
"BMP4",1
"BMP5",1
"BMPER",1
"BMPR1B",1
"BORA",1
"BRMS1L",1
"BTN3A3",1
"C10orf68",1
"C12orf60",1
"C18orf34",1
"C1GALT1C1",1
"C4orf21",1
"C4orf33",1
"C5orf34",1
"C5orf54",1
"C7orf25",1
"C7orf58",1
"C7orf60",1
"C8orf4",1
"C8orf48",1
"C9orf72",1
"C9orf95",1
"CA3",1
"CAB39L",1
"CALCRL",1
"CAPS2",1
"CASQ2",1
"CBLN2",1
"CCDC132",1
"CCDC80",1
"CCDC81",1
"CCIN",1
"CCKBR",1
"CCNA1",1
"CCT6B",1
"CD34",1
"CD44",1
"CD48",1
"CD86",1
"CDH11",1
"CDH13",1
"CDKL2",1
"CEP57L1",1
"CEP70",1
"CER1",1
"CHL1",1
"CHODL",1
"CHRNA1",1
"CKAP2L",1
"CLEC1B",1
"CLGN",1
"CNKSR3",1
"CNOT6L",1
"COBLL1",1
"COL15A1",1
"COL24A1",1
"COL3A1",1
"COL4A1",1
"COL5A2",1
"COL6A3",1
"COLEC12",1
"CP",1
"CPE",1
"CPEB4",1
"CRHBP",1
"CRYZ",1
"CTAGE4",1
"CTSK",1
"CUZD1",1
"CXCR4",1
"CXorf57",1
"CYB5R4",1
"CYP1B1",1
"CYP26A1",1
"DCLRE1A",1
"DDIT4L",1
"DDX60",1
"DEPDC7",1
"DEPTOR",1
"DIRAS3",1
"DKK1",1
"DKK2",1
"DKK4",1
"DLC1",1
"DLX6",1
"DNAJB14",1
"DNAJB9",1
"DOCK11",1
"DUSP10",1
"DUSP4",1
"DYNC2LI1",1
"DYNLT3",1
"EBF2",1
"EDIL3",1
"EFCAB7",1
"EFHC2",1
"EGR2",1
"EIF3CL",1
"ELOVL2",1
"ELTD1",1
"ENC1",1
"ENDOD1",1
"ENPP2",1
"ENPP4",1
"ENPP5",1
"ENTPD3",1
"EPM2A",1
"ERBB4",1
"ERCC-00025",1
"ERCC-00033",1
"ERCC-00053",1
"ERCC-00158",1
"ERCC-00164",1
"ERCC-00168",1
