"","cluster"
"ACTC1",1
"ADAM19",1
"AEBP2",1
"AGL",1
"ANXA2",1
"ARF6",1
"ARRDC3",1
"ATRX",1
"AXL",1
"BAG3",1
"BAG4",1
"BCLAF1",1
"BNIP3",1
"BNIP3L",1
"C12orf23",1
"C1GALT1",1
"CA2",1
"CAMK2D",1
"CAP2",1
"CCDC82",1
"CCDC90B",1
"CD24",1
"CDH2",1
"CDK6",1
"CENPF",1
"CLDN11",1
"CNTNAP2",1
"CPD",1
"CPNE8",1
"CXADR",1
"DCP2",1
"DNAJC3",1
"DPYSL2",1
"DUSP6",1
"EFNA5",1
"ELL2",1
"ELMOD2",1
"EML4",1
"EOMES",1
"ERCC-00002",1
"ERCC-00003",1
"ERCC-00004",1
"ERCC-00009",1
"ERCC-00022",1
"ERCC-00042",1
"ERCC-00043",1
"ERCC-00044",1
"ERCC-00046",1
"ERCC-00060",1
"ERCC-00062",1
"ERCC-00074",1
"ERCC-00092",1
"ERCC-00095",1
"ERCC-00096",1
"ERCC-00108",1
"ERCC-00111",1
"ERCC-00113",1
"ERCC-00130",1
"ERCC-00136",1
"ERCC-00145",1
"ERCC-00171",1
"ETNK1",1
"FABP5",1
"FGF12",1
"FN1",1
"GPC6",1
"HAS2",1
"HLTF",1
"IARS",1
"IDI1",1
"IFITM1",1
"IGDCC4",1
"IL6ST",1
"IMPAD1",1
"KIAA1467",1
"KPNA2",1
"L1TD1",1
"MALT1",1
"MAP1B",1
"MARCH7",1
"MIER1",1
"NAA15",1
"NAMPT",1
"NUCB2",1
"P4HA1",1
"PAN3",1
"PFN2",1
"PHACTR2",1
"PHLDA1",1
"PIP4K2A",1
"PPP3CA",1
"PRTG",1
"PSAT1",1
"PTBP2",1
"PTGR1",1
"RAB18",1
"RAP2B",1
"RAP2C",1
"RHOBTB3",1
"RNF168",1
"SATB1",1
"SC5DL",1
"SDCBP",1
"SERINC5",1
"SERPINB9",1
"SERPINE2",1
"SHISA2",1
"SLC30A7",1
"SLC39A10",1
"SLC39A9",1
"SMAD2",1
"STRN3",1
"STT3B",1
"TCF7L2",1
"TGFBR1",1
"TLK1",1
"TMEM66",1
"TRIM59",1
"TXLNA",1
"VIM",1
"WNT5A",1
"WWP1",1
"ZC3HAV1",1
"ZCCHC11",1
"ZFYVE16",1
"ZIC3",1
"ZNF518B",1
"ABI1",2
"ACTR6",2
"ALG6",2
"ANK2",2
"ARL4A",2
"ATG4C",2
"AURKA",2
"BIRC2",2
"BLM",2
"BTBD10",2
"C11orf82",2
"C3orf58",2
"CASC5",2
"CCBL2",2
"CCDC138",2
"CD9",2
"CDCA2",2
"CFL2",2
"CLK1",2
"COCH",2
"COQ3",2
"COX11",2
"CSNK1G3",2
"DCTN4",2
"DDAH1",2
"DDX20",2
"DEPDC1",2
"DEPDC1B",2
"DNA2",2
"DTL",2
"DTWD1",2
"EGLN3",2
"EPCAM",2
"ESCO2",2
"EXO1",2
"FASTKD3",2
"FASTKD5",2
"FMR1",2
"FZD5",2
"GCA",2
"GDF3",2
"GPR89A",2
"HDHD2",2
"HIBCH",2
"HMMR",2
"ITM2A",2
"KBTBD2",2
"KIAA0528",2
"KIAA1524",2
"KIF23",2
"KLHL12",2
"MAL2",2
"MAP4K3",2
"MBOAT1",2
"MFAP4",2
"MOSPD1",2
"MTERFD1",2
"NAP1L3",2
"NDC80",2
"NODAL",2
"NUP35",2
"NXT2",2
"ORC5",2
"OTUD6B",2
"PAPD4",2
"PERP",2
"PLK4",2
"PON2",2
"PPIP5K2",2
"PPM1H",2
"PRICKLE1",2
"PRIM1",2
"RAD17",2
"RBM18",2
"RCBTB2",2
"RICTOR",2
"RINT1",2
"RND3",2
"RNF13",2
"RPS6KB1",2
"RRM2B",2
"SCYL2",2
"SEMA3A",2
"SGOL2",2
"SH3BGRL",2
"SIRT1",2
"SKA3",2
"SLC35A5",2
"SLC38A9",2
"SLC6A15",2
"SMN2",2
"SOCS2",2
"STAT1",2
"STXBP3",2
"SYNC",2
"TADA1",2
"TAF9B",2
"TBX3",2
"TDP2",2
"TGDS",2
"TIPIN",2
"TOM1L1",2
"TRNT1",2
"TTK",2
"TWF1",2
"UBE2W",2
"XRCC4",2
"ZNF12",2
"ZNF143",2
"ZNF268",2
"AK4",3
"ANAPC13",3
"AP5M1",3
"ARL8B",3
"ARMC1",3
"ARMCX2",3
"ASNS",3
"ASPM",3
"BCAS2",3
"BCL11A",3
"BET1",3
"BRCA2",3
"BUB1B",3
"C14orf129",3
"C18orf54",3
"C5orf43",3
"C6orf211",3
"CCNA2",3
"CCNB1",3
"CDC23",3
"CDK1",3
"CENPE",3
"CLDN12",3
"CLDND1",3
"COPS3",3
"COPS4",3
"DBF4",3
"DCUN1D4",3
"DLGAP5",3
"ECT2",3
"EXOC5",3
"EXTL2",3
"FAM117B",3
"FAM208A",3
"FAM35A",3
"FAR1",3
"FARSB",3
"FASTKD2",3
"FGF13",3
"GMFB",3
"GOLT1B",3
"HAUS6",3
"HMGN4",3
"ID2",3
"IDE",3
"KAT7",3
"LCLAT1",3
"MAD2L1",3
"MED21",3
"MRS2",3
"MTMR2",3
"NBN",3
"NCAPG",3
"NLGN4X",3
"NMD3",3
"NOL11",3
"NTS",3
"NUP54",3
"NUSAP1",3
"PAK1IP1",3
"PAPSS1",3
"PARPBP",3
"PMAIP1",3
"PNRC2",3
"PODXL",3
"POLR3G",3
"PPAT",3
"PPP6C",3
"PPT1",3
"RAB31",3
"RCHY1",3
"SACS",3
"SCOC",3
"SEMA6A",3
