"","X2","X13","X36","X74","X98","X99","X108","X123","X125","X141","X146","X180","X191","X195","X256","X282","X323","X341","X390","X396","X456","X469","X497","X498","X503","X510","X519","X527","X561","X563","X575","X603","X628","X633","X668","X672","X688","X790","X837","X874","X892","X913","X944","X948","X981","X990","X994","X1005","X1033","X1061","X1071","X1083","X1119","X1123","X1147","X1156","X1185","X1191","X1198","X1217","X1221","X1223","X1256","X1258","X1270","X1282","X1291","X1298","X1309","X1352","X1423","X1476","X1492","X1572","X1578","X1581","X1584","X1621","X1623","X1646","X1658","X1665","X1677","X1680","X1682","X1744","X1791","X1812","X1819","X1825","X1831","X1854","X1882","X1892","X1952","X1955","X1970","X1987","X1999","X2039"
"FGR",-2.4142735,-1.579731,-3.991485,-1.7227701,-5.6840067,-2.3085895,-3.8837001,-1.9482378,-4.7595663,3.841472,-1.70685,-2.8414161,-8.528384,-5.31207,-0.83638394,1.6557057,1.9979671,0.60174847,-2.3166213,-2.189347,-4.0450215,-1.5069729,-3.1473496,-1.9527422,-1.9828931,-2.0700693,-1.8660903,-4.6294775,-2.5332127,-2.0674958,-4.049316,-7.6738267,-1.8508459,-3.4828086,-6.86989,-5.2641764,-3.4853442,-3.9848294,-2.8545399,-2.1208005,-4.5639763,-6.687743,-5.3034883,-5.8595605,-3.8667178,-1.7552537,-6.8341775,-3.2369058,-6.8027387,-4.127486,-3.8580804,-4.211761,-3.0337484,-2.6918778,-4.132799,-3.0593312,-2.1079772,-6.265163,-2.3147337,-8.104041,-6.3456764,-5.3109627,-1.178398,-2.7688067,-6.5363245,-7.4618807,-2.3032923,-5.177355,-3.299414,-7.121798,-3.8179553,-3.6346407,-4.468332,-3.4677126,-5.4166336,-6.8194222,-0.9909354,-1.8281788,-6.3965306,-2.1089468,-3.253434,-5.463795,-2.7301362,-5.450496,-2.2015672,-2.9665232,-3.4035983,-2.2293196,-3.080272,-3.5915754,-5.552563,-1.8277252,-2.8205142,-3.5242238,-0.09282564,-2.4010074,-4.4337354,-1.1233968,-2.9915576,-2.2125635
"PRKAR2B",-0.8727834,-1.7211666,-2.7860491,-2.393876,-3.7346208,-2.4417357,-4.725344,-1.1546329,-3.705218,4.105839,-1.7489293,-1.4195335,-5.7987547,-3.3262312,0.5759684,-0.02401745,2.4062257,2.6583612,-2.1971157,0.24101351,-2.299927,-1.3435776,-1.8024772,-2.074833,-2.324922,-1.165809,-1.5296496,-3.96848,-2.4338694,-2.1054168,-3.4669795,-5.084734,-3.6555336,-3.4786446,-4.3162246,-4.6718946,-1.8487061,-0.8055024,-2.5396297,-2.4729316,-3.9921248,-4.167618,-3.1127148,-4.0273924,-2.3770921,-0.87531817,-2.601332,-0.9518454,-4.120315,-4.3496633,-3.3892944,-2.596314,-0.88219845,-4.1610966,-4.4814944,-2.727917,-3.2799845,-3.8779612,-3.487143,-3.9793952,-4.773395,-4.984786,-0.010085977,-3.2881167,-4.631459,-4.8368196,-3.0534658,-4.832627,-2.95915,-3.867908,-2.614178,-0.93278956,-3.3713396,-0.9453523,-3.5628078,-1.8152149,0.28490394,-0.98592055,-4.5236983,0.15475535,-1.9589275,-4.591961,-2.2909303,-4.2088614,-0.7441181,-1.3304112,-3.0913446,-3.905582,-2.7361197,-1.6643965,-3.0122821,-1.6458627,-2.002026,-2.7856128,-0.16913861,-1.337388,-2.554121,-1.0333151,-2.4338048,-1.7866341
"ITGA2B",-1.073287,-1.5704194,-2.8736513,-3.3021877,-3.3880076,-2.76644,-6.0885324,-2.007653,-1.5958697,3.816375,-1.2339064,-1.8491191,-6.237133,-3.9407623,-0.24248804,0.0046806936,5.2560062,0.9872825,-4.2581673,-2.3848433,-2.9785717,-1.5731956,-0.3948298,-1.0080762,-2.859729,-2.875769,-1.8365098,-4.342666,-1.964968,-1.1706877,-3.903798,-5.4954004,-1.6942903,-3.651612,-5.4023232,-3.9679668,-3.1699748,-4.083227,-3.379827,-3.1721122,-3.9401283,-4.7572975,-3.0518527,-3.7145512,-3.8614278,-1.3192885,-4.1472354,-2.0950081,-5.8952546,-4.331804,-2.7515564,-2.739863,-2.536324,-3.6009927,-3.9650555,-3.19587,-1.9613715,-5.896146,-5.006092,-4.3788247,-5.070861,-3.336528,-2.3547394,-2.7763155,-5.5204277,-4.794184,-3.059146,-4.686633,-1.9317802,-5.488698,-2.7935827,-3.4748032,-3.027996,-3.657858,-3.4154398,-4.061431,-0.8333311,-1.7020928,-4.563301,-1.9028106,-1.3130995,-3.6040425,-2.6905756,-4.6562757,-3.0159497,-3.3792608,-4.332283,-1.4962572,-3.6478014,-2.2570078,-4.669665,-1.4939518,-1.5311277,-3.0239887,-0.15812409,-1.2129984,-4.2958117,-1.3976221,-3.3275478,-2.9983728
"TBXA2R",-1.1154116,0.22249423,-3.2543592,-3.3587945,-6.46172,-2.4760408,-5.8524094,0.16576348,-4.8815637,4.029121,-3.051026,-1.5196811,-7.609111,-3.1642458,1.9269636,2.0118597,4.9127674,2.0841763,-2.4844797,0.5388416,-1.8410835,-2.58769,-3.6564567,-2.3356063,-2.0255208,-0.17385468,-2.1255364,-5.0842366,-1.8478929,-3.7751288,-3.4617863,-6.9417443,-5.193772,-2.670108,-6.57092,-6.6637397,-2.054658,-1.03468,-3.8019092,-4.393636,-5.3075614,-6.027817,-2.4420905,-4.4289265,-1.9030614,-1.1813526,-2.191851,-1.309418,-4.0178256,-4.494645,-3.7477214,-0.91289866,-1.5387592,-4.613189,-7.546658,-4.167078,-4.4987106,-6.5398307,-2.9409966,-6.132343,-4.8460383,-5.9975033,-2.6333697,-2.1382954,-6.370121,-4.81547,-3.37553,-5.4208612,-1.9909518,-3.0584917,-3.0770965,-2.0329738,-4.8720536,-0.876991,-4.0868845,-2.9598749,0.6201468,-2.6834857,-4.8636312,-1.178462,-2.3926833,-4.200548,-2.1873085,-4.5684786,2.404037,-3.362244,-4.4815483,-4.392262,-2.808845,-0.643481,-5.7404766,-2.4380655,-2.8976078,-3.8642168,0.2349867,-2.0104847,-2.524779,-0.49500275,-1.6234547,-2.029683
"PROM1",-2.4206262,-1.8501755,-3.2751994,-5.515369,-1.6760507,-0.53717387,-5.054619,-3.1245036,-6.8563166,-0.82033974,-3.51774,-0.40029085,-3.00964,-4.189705,-1.4869992,-1.4249676,9.591017,-3.2228396,-4.183231,-2.867468,0.5166205,-2.6310952,1.4253598,-4.804381,-0.40624458,-2.9679017,-3.794283,-1.718879,-0.50043076,-0.23538001,-2.3441484,-4.2969103,-4.674578,-2.4750247,-0.2697473,6.047744,-4.59455,-0.16128467,-3.4745543,-6.658793,-5.2141285,-0.14558388,0.13626331,0.3400021,-1.5413761,-0.24722944,-2.462185,-2.395151,-3.6607106,-5.6605387,-4.2117653,-6.016366,-5.0498834,-8.30369,-2.418386,-3.8349645,-2.88899,-4.9039497,-4.2424536,-3.9314134,-2.98712,-2.0148273,0.6432926,-3.5632222,-7.1824093,-4.1382513,-0.18800868,-1.9752296,-6.0991907,-2.3212817,-3.4616554,-3.412044,1.0379823,-4.889646,-6.052428,-4.949082,-6.0180902,-3.4111984,-2.0162199,-4.5762014,-1.6197623,-6.423068,-3.550717,2.3388398,-6.195966,1.5342201,-5.7604537,-2.5107028,-2.3747637,-3.7315547,-0.78711826,-2.1853645,-3.3268397,-3.1431818,-4.5798335,-0.88716817,1.8176678,-4.6588445,-9.061235,-4.590461
"GAS7",-2.1044903,-2.1568115,-2.361824,-1.7391509,-5.626093,-1.7335442,-3.1308794,-1.55658,-1.7219878,3.7930381,-1.3724978,-1.6696105,-6.9252167,-3.1360624,-0.70975095,0.3457325,3.2387464,3.1604283,-3.105952,-2.044823,-4.1159096,-1.5620134,-1.173301,-0.95430434,-3.1418767,-1.3820175,-0.80118006,-2.5537035,-2.076836,-2.686452,-3.9020715,-6.9252925,-1.4283968,-4.0776973,-6.408081,-4.1032047,-2.9898703,-3.0248485,-2.5510004,-1.2946426,-4.0636687,-6.342914,-5.1921444,-4.245287,-2.8463771,-2.0736856,-3.3906257,-3.140051,-5.1413674,-3.8836544,-2.8550706,-2.9980707,-1.5884469,-2.7191079,-2.9407637,-3.4894073,-1.9100772,-5.5405626,-3.3488326,-5.5212097,-5.404094,-4.892633,-1.1704158,-3.1161506,-6.384368,-5.525006,-2.599284,-5.2858963,-2.4192328,-5.8058095,-3.0999067,-3.1990714,-3.4935768,-3.7804065,-2.979596,-4.5402856,-0.57544464,-2.260237,-5.4696426,-0.48291278,-3.1610167,-3.4856179,-1.9430033,-6.401349,-1.4764525,-3.1124508,-3.2646766,-1.7661303,-3.8451025,-2.4593127,-6.3605075,-1.7593207,-2.7820578,-3.0666847,0.8342283,-2.1640832,-4.768938,-0.5884058,-4.3027353,-1.7545192
"CD79B",-5.7406836,-4.8974957,-5.4920554,-6.5968027,-2.4541698,-5.262705,11.944765,-4.4840393,-7.06676,-6.328425,-5.9265194,-5.1456723,3.12213,-4.5547853,-4.948398,-3.5231612,-9.732367,-6.1773458,2.4729912,-3.7630346,-0.65608907,5.78435,1.2914923,-4.7715154,-6.312738,-4.6244907,-6.7199636,6.8200502,6.3168836,-0.9878932,0.0070818374,1.1600764,14.608736,2.5560985,3.322924,-1.8118348,-4.6993237,1.9571717,-4.8708944,11.958948,0.5756451,-1.7521302,-1.0657961,3.1293278,0.5686208,-3.7623787,4.6206183,1.2550973,-2.2623136,6.831885,-6.625683,-7.2505374,10.989415,2.398615,1.1770403,1.6669596,7.6831946,8.448752,13.181965,-3.0194142,-2.0143504,-3.8406925,6.766387,-3.9945266,-1.0231379,-0.68316287,1.6617063,6.9731903,-4.1447563,0.37645873,-3.673608,0.59045494,-1.8212979,-5.471336,-7.8757133,3.4274518,-3.42067,-2.4177094,2.7771707,-6.883276,-3.5546749,-8.827344,12.115573,-2.4734268,-6.131527,9.0165825,-7.093359,6.0869775,0.541971,-7.9909906,7.6096277,-3.0797005,-0.55069405,9.700094,-3.7382383,-0.75261587,8.104683,-3.9874353,-4.974859,-4.2489414
"TKTL1",-0.06622406,-0.46893537,-3.0541139,0.4569662,-3.1911504,-1.611701,-2.629588,-2.7303064,-1.8374876,1.6762669,-2.0456629,-1.7688513,-6.6131454,-3.3439476,-0.048337415,-0.10150113,-0.18493363,0.1607352,-3.0162976,-2.2220464,-3.6838443,-5.023043,-5.8054185,-0.4447261,-1.3263179,-2.4912522,-1.6149135,-2.6301749,-6.27018,-3.9789357,0.010238857,-4.731552,-1.8414885,-6.092111,-5.314529,-2.6191792,-1.308226,-2.0229008,-1.5701522,-5.009492,-2.9573371,-4.7802734,-4.2430177,-4.247194,-3.1609833,-3.816833,-1.6754892,-2.8762069,-2.4846835,-4.0110974,-2.173799,-2.4887033,-2.5468445,-3.0282876,-1.849487,-2.5849051,-4.83344,-1.1892569,-2.2464502,-3.90988,-4.0628996,-6.1940007,-0.6400428,-1.4632803,-1.5214342,-2.917193,-3.4749904,-1.9736577,-1.7161106,-5.853205,-1.5405973,-2.5104394,-4.30701,-2.1646416,-3.4910288,-3.6462138,0.20163484,-2.140031,-4.5668797,-2.5175126,-1.826085,-1.9191768,-4.7566175,-5.7118793,-0.31378117,-1.5025688,-1.8343319,-3.2590966,-2.6541243,-2.9909523,-4.1683474,-1.8589029,-3.1612353,-2.9644964,-2.1746197,-2.5661604,-1.7723029,-1.1341902,-2.5812342,-4.091586
"JARID2",-1.4001374,-0.764743,-3.443119,-1.0218018,-3.8644016,-2.0409973,-2.9916103,-2.5209491,-4.92698,2.1662452,-1.2178302,-3.2140257,-6.5817413,-5.068695,-1.2924057,1.8438286,0.6846064,-2.2515616,-1.073539,-2.098542,-3.1829364,-1.3291701,-2.9707835,-1.8397859,-2.0025,-1.4093357,-1.6387845,-4.37571,-3.7971566,-1.430321,-2.4284267,-5.0990567,-1.5618235,-2.3855798,-5.225447,-2.786988,-3.036389,-2.9461741,-3.0175083,-3.054594,-4.2133017,-4.8070703,-3.116232,-4.1393332,-1.9156833,-2.2711537,-5.7033167,-2.2870102,-5.1573677,-3.0388012,-2.2702792,-2.036648,-3.2168062,-1.9135542,-3.1905735,-2.4890397,-3.0243194,-4.509635,-2.551863,-6.3349314,-5.0460896,-3.9358292,-2.5734162,-2.4402921,-4.1213255,-5.493742,-1.1322787,-3.4957545,-2.4755995,-5.5525236,-3.1153512,-2.789486,-4.1569395,-3.2728086,-4.526104,-4.1048756,-1.0557342,-1.5296242,-4.318534,-2.445675,-3.0717392,-5.0292363,-3.0646827,-2.8913682,-2.458054,-1.9854549,-3.1748672,-1.2717005,-2.4171457,-3.7089274,-3.3516405,-1.4959532,-1.5153737,-2.216497,-1.7372475,-0.60151845,-3.5531912,-1.595128,-1.9569833,-1.8330082
"CD9",-0.21987575,-1.157001,-2.688205,-2.1298213,-4.748138,-2.3015568,-4.5562086,-0.9556965,-3.6355045,4.215427,-1.8314784,-1.3631736,-5.9006457,-2.9238245,0.97976005,0.6833539,2.1125786,3.0455568,-1.786952,0.36556184,-2.6041157,-1.1892171,-1.6124732,-1.8334656,-2.7620869,-0.5105036,-1.4120715,-4.1078215,-2.492515,-2.9026423,-3.1985438,-5.371578,-3.0077302,-3.5672274,-5.8410625,-5.5624156,-1.92426,-0.9345716,-3.245173,-2.3558257,-4.1698833,-4.735157,-2.9968643,-3.8557785,-2.262284,-0.6498134,-2.123061,-0.9762358,-3.709187,-3.9383936,-2.8101122,-2.0627587,-0.58574027,-3.7392347,-4.7465878,-3.1854784,-3.7225585,-4.5089936,-3.8048038,-3.8997684,-5.3104663,-5.517387,-0.44086012,-3.1424685,-5.103493,-4.701873,-3.1898124,-4.672806,-2.3843322,-3.7755096,-2.7417226,-0.9787155,-4.252501,-0.8878579,-3.489061,-1.3000783,0.9488245,-1.7277348,-4.5331054,-0.43634892,-2.0803044,-4.595732,-1.7681172,-4.7940373,0.46917954,-2.0779788,-3.8176465,-3.4340444,-2.8897665,-1.1282687,-3.8957999,-1.9144313,-2.0608323,-2.5159311,0.40329677,-0.7547047,-2.8785255,-0.86146605,-1.8286815,-1.9492097
